personId,PlayerName,total_minutes_2018_2024
1628249,Mitchell Creek,47
1630787,Cameron McGriff,46
1628968,Brian Bowen II,46
1629625,Justin Wright-Foreman,45
1630994,Gabriel Lundberg,44
1629665,Jalen Lecque,44
1631131,Oscar Tshiebwe,42
1641793,D'Moi Hodge,41
1629147,Joe Chealey,41
1629150,Emanuel Terry,41
1629668,Zach Norvell Jr.,41
1631386,Taze Moore,40
1641788,Alex Fudge,40
1628605,Dusty Hannahs,39
1630536,Sharife Cooper,39
1631210,Jacob Toppin,38
1628429,Charles Cooke,38
1627822,Petr Cornelie,38
1641771,Jalen Slawson,37
1630648,Jordan Schakel,36
1629118,Thomas Welsh,36
1628387,Ike Anigbogu,36
1630618,D.J. Carton,36
1628935,Aaron Jackson,34
1628451,Jacob Wiley,33
1627856,Matt Costello,32
1629091,Elijah Bryant,32
1630929,Henri Drell,30
1641926,Dexter Dennis,30
1628578,Amida Brimah,29
1631309,Trevor Hudgins,28
1629729,Josh Reaves,28
1629608,Dewan Hernandez,28
1641757,Jordan Miller,28
1627779,Marcus Paige,28
1629621,Marial Shayok,28
1631250,Pete Nance,27
1630203,Grant Riller,27
1627866,Jameel Warney,27
1630268,Nate Darling,26
1630311,Pat Spencer,26
1630620,Darius Days,25
1641727,Dariq Whitehead,24
1630604,E.J. Liddell,23
1641809,Drew Peterson,23
1630259,Jordan Ford,22
1629152,DeVaughn Akoon-Purcell,22
1631214,Alondes Williams,21
1628435,Chance Comanche,21
1629760,Matt Mooney,21
1630555,Joel Ayayi,20
1628493,Mangok Mathiang,20
1628450,Eric Mika,19
1628591,Craig Sword,19
203949,James Michael McAdoo,18
1629122,J.P. Macura,17
1630565,Aaron Henry,17
1629309,Trayvon Palmer,17
1629053,Vincent Edwards,16
1628505,Troy Caupain,16
1629745,Tariq Owens,15
1629742,Stanton Kidd,15
1629116,Angel Delgado,15
1630589,Moses Wright,15
1641745,Adam Flagler,14
1641847,Andrew Funk,13
1629734,Kyle Alexander,13
1629739,William Howard,13
1628999,Yante Maten,13
1627760,Cat Barber,13
1629600,Jarron Cumberland,12
204222,Greg Whittington,12
1628475,Matt Williams Jr.,11
1629005,Malik Newman,11
1630286,Tre Scott,11
1630605,JaQuori McLaughlin,11
1630306,Rob Edwards,11
1629044,Shamorie Ponds,11
1629783,Shaq Buchanan,10
1630196,Filip Petrusev,9
1628500,Ben Moore,9
1630640,MJ Walker,8
1630624,Feron Hunt,8
1631211,Trevor Keels,8
1628769,Tahjere McCall,8
1631320,Chima Moneke,8
1630257,Jon Teske,8
1628571,Erik McCree,8
1629232,Kaiser Gates,7
1626205,Vincent Hunter,7
1628238,Paris Bass,7
203474,DJ Stephens,7
203687,Reggie Hearn,7
1629873,Jaysean Paige,7
1630575,Scottie Lewis,7
1626643,Jacob Pullen,6
1628979,Trevon Duval,6
1629083,Arnoldas Kulboka,5
1631209,Isaiah Wong,4
1631495,Donovan Williams,4
1626296,Jordan Sibert,4
1629155,Zach Lofton,4
1641806,Markquis Nowell,4
1631167,Izaiah Brockington,3
1630266,Will Magnay,3
1630693,Jamie Echenique,3
1629602,Javin DeLaurier,3
1630622,Jalen Crutcher,3
1630608,Malcolm Cazalon,3
1629055,Donte Grantham,2
1631376,Dmytro Skapintsev,2
1630525,David Johnson,2
1629788,Tyler Hall,2
1630278,Ade Murkey,1
203590,Trey McKinney-Jones,1
1630701,Michael Foster Jr.,1
1629093,Tyler Davis,1
1629958,Ahmad Caver,1
