category,start_year,end_year,divergence,n_matched_ages,divergence_smoothed
BLK_per36,1980,1994,0.0813139016979275,15,0.06768201085793811
BLK_per36,1981,1995,0.06293840323335252,15,0.06360122747235801
BLK_per36,1982,1996,0.04269196844932588,15,0.05590949239385053
BLK_per36,1983,1997,0.049869956162318325,16,0.04558376368408969
BLK_per36,1984,1998,0.04273323242632842,16,0.05214531873504215
BLK_per36,1985,1999,0.029685258149123293,16,0.05863906932991512
BLK_per36,1986,2000,0.09574617848811483,18,0.05926530401425993
BLK_per36,1987,2001,0.0751607214236907,18,0.06590954226958004
BLK_per36,1988,2002,0.05300112958404245,18,0.07551580551557902
BLK_per36,1989,2003,0.07595442370292897,19,0.07045821227244507
BLK_per36,1990,2004,0.07771657437911818,20,0.06889070922202986
TOV_per36,1955,1969,,0,
TOV_per36,1956,1970,,0,
TOV_per36,1957,1971,,0,
TOV_per36,1958,1972,,0,
TOV_per36,1959,1973,,0,
TOV_per36,1960,1974,,0,
TOV_per36,1961,1975,,0,
TOV_per36,1962,1976,,0,
TOV_per36,1963,1977,,0,
TOV_per36,1964,1978,,0,
TOV_per36,1965,1979,0.6878775582267287,7,0.3835277691388826
TOV_per36,1966,1980,0.23945727781231732,9,0.3175254668350238
TOV_per36,1967,1981,0.2232484713776018,10,0.2795494181121986
TOV_per36,1968,1982,0.11951855992344743,11,0.1652090783819741
TOV_per36,1969,1983,0.1276452232208978,12,0.13526976225262877
TOV_per36,1970,1984,0.11617585957560615,13,0.1071914970241086
TOV_per36,1971,1985,0.08976069716559061,13,0.10107551624705177
TOV_per36,1972,1986,0.08285714523500103,13,0.09370641781708493
TOV_per36,1973,1987,0.08893865603816334,13,0.08892709692925306
TOV_per36,1974,1988,0.09079973107106352,13,0.09166824104621804
TOV_per36,1975,1989,0.09227925513644678,14,0.10216461878215255
TOV_per36,1976,1990,0.10346641775041553,14,0.10630968311770303
TOV_per36,1977,1991,0.1353390339146735,14,0.10858701744945856
TOV_per36,1978,1992,0.10966397771591584,15,0.11481665292485763
TOV_per36,1979,1993,0.10218640272984113,15,0.12197449438832712
TOV_per36,1980,1994,0.12342743251344215,15,0.12167728175515032
TOV_per36,1981,1995,0.13925562506776304,15,0.12863161270972648
TOV_per36,1982,1996,0.13385297074878946,15,0.13600678902699342
TOV_per36,1983,1997,0.14443563248879662,16,0.14232819449192655
TOV_per36,1984,1998,0.13906228431617587,16,0.16318942048457255
TOV_per36,1985,1999,0.15503445983810774,16,0.20642355284168173
TOV_per36,1986,2000,0.243561755030993,18,0.2527071354592802
TOV_per36,1987,2001,0.3500236325343356,18,0.32379688942505364
TOV_per36,1988,2002,0.37585354557678874,18,0.3962212312728158
TOV_per36,1989,2003,0.4945110541450431,19,0.43438610033327146
TOV_per36,1990,2004,0.5171561690769184,20,0.4625069229329168
PF_per36,1955,1969,0.2494973298003521,11,0.22527139942288113
PF_per36,1956,1970,0.2172924441980206,11,0.219344950308066
PF_per36,1957,1971,0.20902442427027065,12,0.21785525191000893
PF_per36,1958,1972,0.20156560296362064,12,0.20375248267210763
PF_per36,1959,1973,0.2118964583177807,12,0.19905923650736165
PF_per36,1960,1974,0.1789834836108456,12,0.20234061149776167
PF_per36,1961,1975,0.19382621337429068,12,0.21015530724562015
PF_per36,1962,1976,0.22543129922227081,12,0.19946434052292078
PF_per36,1963,1977,0.24063908170291295,13,0.2021526078795466
PF_per36,1964,1978,0.1584416247042838,13,0.21174046333983715
PF_per36,1965,1979,0.19242482039397457,13,0.21156822938933545
PF_per36,1966,1980,0.24176549067574382,14,0.2103951378690309
PF_per36,1967,1981,0.2245701294697621,14,0.22913659735052416
PF_per36,1968,1982,0.23477362410139027,14,0.23759017361855123
