Serge Ibaka,27,Orlando Magic,42767
Serge Ibaka,27,Toronto Raptors,42767
Sergio Rodríguez,30,Philadelphia 76ers,42767
Seth Curry,26,Dallas Mavericks,42767
Shabazz Muhammad,24,Minnesota Timberwolves,42767
Shabazz Napier,25,Portland Trail Blazers,42767
Shaun Livingston,31,Golden State Warriors,42767
Shawn Long,24,Philadelphia 76ers,42767
Sheldon Mac,24,Washington Wizards,42767
Shelvin Mack,26,Utah Jazz,42767
Skal Labissière,20,Sacramento Kings,42767
Solomon Hill,25,New Orleans Pelicans,42767
Spencer Dinwiddie,23,Brooklyn Nets,42767
Spencer Hawes,28,Charlotte Hornets,42767
Spencer Hawes,28,Milwaukee Bucks,42767
Stanley Johnson,20,Detroit Pistons,42767
Stephen Curry,28,Golden State Warriors,42767
Stephen Zimmerman,20,Orlando Magic,42767
Steve Novak,33,Milwaukee Bucks,42767
Steven Adams,23,Oklahoma City Thunder,42767
T.J. McConnell,24,Philadelphia 76ers,42767
T.J. Warren,23,Phoenix Suns,42767
Taj Gibson,31,Chicago Bulls,42767
Taj Gibson,31,Oklahoma City Thunder,42767
Tarik Black,25,Los Angeles Lakers,42767
Taurean Prince,22,Atlanta Hawks,42767
Terrence Jones,25,New Orleans Pelicans,42767
Terrence Jones,25,Milwaukee Bucks,42767
Terrence Ross,25,Toronto Raptors,42767
Terrence Ross,25,Orlando Magic,42767
Terry Rozier,22,Boston Celtics,42767
Thabo Sefolosha,32,Atlanta Hawks,42767
Thaddeus Young,28,Indiana Pacers,42767
Thomas Robinson,25,Los Angeles Lakers,42767
Thon Maker,19,Milwaukee Bucks,42767
Tiago Splitter,32,Philadelphia 76ers,42767
Tim Frazier,26,New Orleans Pelicans,42767
Tim Hardaway Jr.,24,Atlanta Hawks,42767
Tim Quarterman,22,Portland Trail Blazers,42767
Timofey Mozgov,30,Los Angeles Lakers,42767
Timothé Luwawu-Cabarrot,21,Philadelphia 76ers,42767
Tobias Harris,24,Detroit Pistons,42767
Tomáš Satoranský,25,Washington Wizards,42767
Toney Douglas,30,Memphis Grizzlies,42767
Tony Allen,35,Memphis Grizzlies,42767
Tony Parker,34,San Antonio Spurs,42767
Tony Snell,25,Milwaukee Bucks,42767
Treveon Graham,23,Charlotte Hornets,42767
Trevor Ariza,31,Houston Rockets,42767
Trevor Booker,29,Brooklyn Nets,42767
Trey Burke,24,Washington Wizards,42767
Trey Lyles,21,Utah Jazz,42767
Tristan Thompson,25,Cleveland Cavaliers,42767
Troy Daniels,25,Memphis Grizzlies,42767
Troy Williams,22,Memphis Grizzlies,42767
Troy Williams,22,Houston Rockets,42767
Ty Lawson,29,Sacramento Kings,42767
Tyler Ennis,22,Los Angeles Lakers,42767
Tyler Ennis,22,Houston Rockets,42767
Tyler Johnson,24,Miami Heat,42767
Tyler Ulis,21,Phoenix Suns,42767
Tyler Zeller,27,Boston Celtics,42767
Tyreke Evans,27,New Orleans Pelicans,42767
Tyreke Evans,27,Sacramento Kings,42767
Tyson Chandler,34,Phoenix Suns,42767
Tyus Jones,20,Minnesota Timberwolves,42767
Udonis Haslem,36,Miami Heat,42767
Victor Oladipo,24,Oklahoma City Thunder,42767
Vince Carter,40,Memphis Grizzlies,42767
Wade Baldwin,20,Memphis Grizzlies,42767
Wayne Ellington,29,Miami Heat,42767
Wayne Selden,22,Memphis Grizzlies,42767
Wayne Selden,22,New Orleans Pelicans,42767
Wesley Johnson,29,Los Angeles Clippers,42767
Wesley Matthews,30,Dallas Mavericks,42767
Will Barton,26,Denver Nuggets,42767
Willie Cauley-Stein,23,Sacramento Kings,42767
Willie Reed,26,Miami Heat,42767
Willy Hernangómez,22,New York Knicks,42767
Wilson Chandler,29,Denver Nuggets,42767
Yogi Ferrell,23,Dallas Mavericks,42767
Yogi Ferrell,23,Brooklyn Nets,42767
Zach LaVine,21,Minnesota Timberwolves,42767
Zach Randolph,35,Memphis Grizzlies,42767
Zaza Pachulia,32,Golden State Warriors,42767
Aaron Brooks,33,Minnesota Timberwolves,43132
Aaron Gordon,22,Orlando Magic,43132
Aaron Harrison,23,Dallas Mavericks,43132
Aaron Jackson,31,Houston Rockets,43132
Abdel Nader,24,Boston Celtics,43132
Adreian Payne,26,Orlando Magic,43132
Al Horford,31,Boston Celtics,43132
Al Jefferson,33,Indiana Pacers,43132
Alan Williams,25,Phoenix Suns,43132
Alec Burks,26,Utah Jazz,43132
Alec Peters,22,Phoenix Suns,43132
Álex Abrines,24,Oklahoma City Thunder,43132
Alex Caruso,23,Los Angeles Lakers,43132
Alex Len,24,Phoenix Suns,43132
Alex Poythress,24,Indiana Pacers,43132
Al-Farouq Aminu,27,Portland Trail Blazers,43132
Alfonzo McKinnie,25,Toronto Raptors,43132
Allen Crabbe,25,Brooklyn Nets,43132
Amir Johnson,30,Philadelphia 76ers,43132
Andre Drummond,24,Detroit Pistons,43132
Andre Iguodala,34,Golden State Warriors,43132
Andre Ingram,32,Los Angeles Lakers,43132
Andre Roberson,26,Oklahoma City Thunder,43132
Andrew Bogut,33,Los Angeles Lakers,43132
Andrew Harrison,23,Memphis Grizzlies,43132
Andrew White,24,Atlanta Hawks,43132
Andrew Wiggins,22,Minnesota Timberwolves,43132
Ante Žižić,21,Cleveland Cavaliers,43132
Anthony Brown,25,Minnesota Timberwolves,43132
Anthony Davis,24,New Orleans Pelicans,43132
Anthony Tolliver,32,Detroit Pistons,43132
Antonio Blakeney,21,Chicago Bulls,43132
Antonius Cleveland,23,Dallas Mavericks,43132
Antonius Cleveland,23,Atlanta Hawks,43132
Aron Baynes,31,Boston Celtics,43132
Arron Afflalo,32,Orlando Magic,43132
Austin Rivers,25,Los Angeles Clippers,43132
Avery Bradley,27,Detroit Pistons,43132
Avery Bradley,27,Los Angeles Clippers,43132
Bam Adebayo,20,Miami Heat,43132
Ben McLemore,24,Memphis Grizzlies,43132
Ben Moore,22,Indiana Pacers,43132
Ben Simmons,21,Philadelphia 76ers,43132
Bismack Biyombo,25,Orlando Magic,43132
Blake Griffin,28,Los Angeles Clippers,43132
Blake Griffin,28,Detroit Pistons,43132
Boban Marjanović,29,Los Angeles Clippers,43132
Boban Marjanović,29,Detroit Pistons,43132
Bobby Brown,33,Houston Rockets,43132
Bobby Portis,22,Chicago Bulls,43132
Bogdan Bogdanović,25,Sacramento Kings,43132
Bojan Bogdanović,28,Indiana Pacers,43132
Bradley Beal,24,Washington Wizards,43132
Brandan Wright,30,Memphis Grizzlies,43132
Brandan Wright,30,Houston Rockets,43132
